name,shortName,country,modelSize,releaseDate,accessType,license,capabilities,validation_notes
"Sao10k: Llama 3 Euryale 70B v2.1","Sao10k:-Llama-Euryale","US","70B","2024-06-18","freemium","Unknown","Text Generation","License unverified"
"Mistral: Mistral 7B Instruct (free)","Mistral:-Mistral-(free)","France","7B","2024-05-27","freemium","Unknown","Conversational","License unverified"
"Mistral: Mistral 7B Instruct","Mistral:-Mistral","France","7B","2024-05-27","freemium","Unknown","Conversational","License unverified"
"NousResearch: Hermes 2 Pro - Llama-3 8B","NousResearch:-Hermes-Pro","US","8B","2024-05-27","freemium","Unknown","RAG","License unverified"
"Mistral: Mistral 7B Instruct v0.3","Mistral:-Mistral-v0.3","France","7B","2024-05-27","freemium","Unknown","Conversational","License unverified"
"NeverSleep: Llama 3 Lumimaid 70B","NeverSleep:-Llama-Lumimaid","US","70B","2024-05-16","freemium","Unknown","Text Generation","License unverified"
"OpenAI: GPT-4o","OpenAI:-GPT","US","Unknown","2024-05-13","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4o (extended)","OpenAI:-GPT-(extended)","US","Unknown","2024-05-13","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: LlamaGuard 2 8B","Meta:-LlamaGuard","US","8B","2024-05-13","freemium","Unknown","Text Generation","License unverified"
"OpenAI: GPT-4o (2024-05-13)","OpenAI:-GPT-(2024","US","Unknown","2024-05-13","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Meta: Llama 3 8B Instruct","Meta:-Llama","US","8B","2024-04-18","freemium","Unknown","Conversational","License unverified"
"Meta: Llama 3 70B Instruct","Meta:-Llama-70B","US","70B","2024-04-18","freemium","Unknown","Conversational","License unverified"
"Mistral: Mixtral 8x22B Instruct","Mistral:-Mixtral-8x22B","France","22B","2024-04-17","freemium","Unknown","Conversational","License unverified"
"OpenAI: GPT-4 Turbo","OpenAI:-GPT-Turbo","US","Unknown","2024-04-09","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3 Haiku (self-moderated)","Anthropic:-Claude-Haiku","US","Unknown","2024-03-13","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3 Haiku","Anthropic:-Claude-Haiku","US","Unknown","2024-03-13","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3 Opus (self-moderated)","Anthropic:-Claude-Opus","US","Unknown","2024-03-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3 Opus","Anthropic:-Claude-Opus","US","Unknown","2024-03-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3 Sonnet (self-moderated)","Anthropic:-Claude-Sonnet","US","Unknown","2024-03-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude 3 Sonnet","Anthropic:-Claude-Sonnet","US","Unknown","2024-03-05","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral Large","Mistral-Large","France","Unknown","2024-02-26","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-3.5 Turbo (older v0613)","OpenAI:-GPT-3.5","US","Unknown","2024-01-25","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4 Turbo Preview","OpenAI:-GPT-Turbo","US","Unknown","2024-01-25","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral Small","Mistral-Small","France","Unknown","2024-01-10","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral Tiny","Mistral-Tiny","France","Unknown","2024-01-10","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Mistral: Mistral 7B Instruct v0.2","Mistral:-Mistral-v0.2","France","7B","2023-12-28","freemium","Unknown","Conversational","License unverified"
"Mistral: Mixtral 8x7B Instruct","Mistral:-Mixtral-8x7B","France","7B","2023-12-10","freemium","Unknown","Conversational","License unverified"
"Anthropic: Claude v2.1 (self-moderated)","Anthropic:-Claude-v2.1","US","Unknown","2023-11-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude v2.1","Anthropic:-Claude-v2.1","US","Unknown","2023-11-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude v2 (self-moderated)","Anthropic:-Claude-(self","US","Unknown","2023-11-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude v2","Anthropic:-Claude","US","Unknown","2023-11-22","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4 Turbo (older v1106)","OpenAI:-GPT-Turbo","US","Unknown","2023-11-06","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-3.5 Turbo Instruct","OpenAI:-GPT-3.5","US","Unknown","2023-09-28","freemium","Unknown","Conversational","License unverified; Model size not specified"
"Mistral: Mistral 7B Instruct v0.1","Mistral:-Mistral-v0.1","France","7B","2023-09-28","freemium","Unknown","Conversational","License unverified"
"OpenAI: GPT-3.5 Turbo 16k","OpenAI:-GPT-3.5","US","Unknown","2023-08-28","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude v2.0 (self-moderated)","Anthropic:-Claude-v2.0","US","Unknown","2023-07-28","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"Anthropic: Claude v2.0","Anthropic:-Claude-v2.0","US","Unknown","2023-07-28","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4","OpenAI:-GPT","US","Unknown","2023-05-28","freemium","Unknown","Text Generation","License unverified; Model size not specified"
"OpenAI: GPT-4 (older v0314)","OpenAI:-GPT-(older","US","Unknown","2023-05-28","freemium","Unknown","Text Generation","License unverified; Model size not specified"
